No.,Reaction number in iLL672,ORF,glucose(aerobe),glucose (anaerobe),galactose,glycerol,ethanol,Plate,row,col,ORF,gene name(s),brief id 
4350,    'not included in iLL672',YDR395W,,,,,,46,D,7,YDR395W,"SXM1, KAP108","Sxm1p shares similarity with Cse1p homologs including Nmd5p, Cse1p, Lph2p, and the human cellular apoptosis susceptibility protein, CAS1; Sxm1p also shares homology with the karyopherin, Kap95p; Sxm1p is primarily a nuclear protein"
4351,    'part of iLL672',YDR399W,,,,,,46,D,8,YDR399W,"HPT1, BRA6",hypoxanthine guanine phosphoribosyltransferase 
4352,    'part of iLL672',YDR400W,,,,,,46,D,9,YDR400W,URH1,uridine nucleosidase (uridine ribohydrolase); EC 3.2.2.3 
4353,    'not included in iLL672',YDR401W,,,,,,46,D,10,YDR401W,,"biological_process unknown, molecular_function unknown, "
4354,    'not included in iLL672',YDR402C,,,,,,46,D,11,YDR402C,"DIT2, CYP56","Cytochrome P450 56, Dit2p catalyzes oxidation of N-formyl tyrosine to N,N-bisformyl dityrosine in vitro"
4355,    'not included in iLL672',YDR403W,,,,,,46,D,12,YDR403W,DIT1,"first enzyme in dityrosine synthesis in the outer layer of the spore wall pathway converting L-tyrosine to N-formyl-L-tyrosine, expressed late (10-16 hr) in sporulation "
4356,    'not included in iLL672',YDR405W,,,,,,46,E,1,YDR405W,"MRP20, MRPL41","263-amino acid mitochondrial ribosomal large subunit protein; similar to L23 family of ribosomal proteins, protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit"
4357,    'not included in iLL672',YDR406W,,,,,,46,E,2,YDR406W,PDR15,probable multidrug resistance transporter 
4358,    'part of iLL672',YDR408C,,,,,,46,E,3,YDR408C,ADE8,"glycinamide ribotide transformylase,phosphoribosylglycinamide formyltransferase, "
4359,    'not included in iLL672',YDR409W,,,,,,46,E,4,YDR409W,,"biological_process unknown, molecular_function unknown, "
4360,    'not included in iLL672',YDR410C,,,,,,46,E,5,YDR410C,STE14,"farnesyl cysteine-carboxyl methyltransferase,protein-S isoprenylcysteine O-methyltransferase, "
4361,    'not included in iLL672',YDR411C,,,,,,46,E,6,YDR411C,,"biological_process unknown, molecular_function unknown, "
4362,    'not included in iLL672',YDR414C,,,,,,46,E,7,YDR414C,ERD1,involved in rentention of lumenal ER proteins 
4363,    'not included in iLL672',YDR415C,,,,,,46,E,8,YDR415C,,"biological_process unknown, molecular_function unknown, "
4364,    'not included in iLL672',YDR418W,,,,,,46,E,9,YDR418W,RPL12B,"Ribosomal protein L12B (L15B) (YL23), protein biosynthesis*, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit"
4365,    'not included in iLL672',YDR419W,,,,,,46,E,10,YDR419W,"RAD30, DBH1","similar to E. coli DinB and S. cerevisiae REV1, DNA repair, molecular_function unknown,"
4366,    'not included in iLL672',YDR420W,,,,,,46,E,11,YDR420W,HKR1,"Type 1 membrane protein with EF hand motif,molecular_function unknown, "
4367,    'not included in iLL672',YDR421W,,,,,,46,E,12,YDR421W,ARO80,"biological_process unknown, molecular_function unknown, "
4368,    'not included in iLL672',YDR422C,,,,,,46,F,1,YDR422C,SIP1,"SNF1 protein kinase substrate, transcription,"
4369,    'not included in iLL672',YDR423C,,,,,,46,F,2,YDR423C,"CAD1, YAP2","basic leucine zipper transcription factor, transcription,"
4370,    'not included in iLL672',YDR425W,,,,,,46,F,3,YDR425W,,"biological_process unknown, molecular_function unknown, "
4371,    'not included in iLL672',YDR426C,,,,,,46,F,4,YDR426C,,"biological_process unknown, molecular_function unknown, "
4372,    'not included in iLL672',YDR428C,,,,,,46,F,5,YDR428C,,"biological_process unknown, molecular_function unknown, "
4373,    'not included in iLL672',YDR430C,,,,,,46,F,6,YDR430C,,"biological_process unknown, molecular_function unknown, "
4374,    'not included in iLL672',YDR431W,,,,,,46,F,7,YDR431W,,"biological_process unknown, molecular_function unknown, "
4375,    'not included in iLL672',YDR432W,,,,,,46,F,8,YDR432W,"NPL3, MTR13, MTS1, NOP3",nuclear shuttling protein with an RNA recognition motif 
4376,    'not included in iLL672',YDR433W,,,,,,46,F,9,YDR433W,KRE22,"biological_process unknown, molecular_function unknown, "
4377,    'not included in iLL672',YDR435C,,,,,,46,F,10,YDR435C,PPM1,"carboxy methyl transferase for protein phosphatase 2A catalytic subunit, protein modification,"
4378,    'not included in iLL672',YDR436W,,,,,,46,F,11,YDR436W,PPZ2,"serine-threonine phosphatase Z,protein serine/threonine phosphatase, "
4379,    'not included in iLL672',YDR438W,,,,,,46,F,12,YDR438W,,"biological_process unknown, molecular_function unknown, "
4380,    'not included in iLL672',YDR439W,,,,,,46,G,1,YDR439W,LRS4,"involved in rDNA silencing,molecular_function unknown, "
4381,    'not included in iLL672',YDR440W,,,,,,46,G,2,YDR440W,"DOT1, PCH1","involved in meiosis and transcriptional silencing,molecular_function unknown,"
4382,    'not included in iLL672',YDR441C,,,,,,46,G,3,YDR441C,APT2,"Adenine Phosphoribosyltransferase,adenine phosphoribosyltransferase, "
4383,    'not included in iLL672',YDR442W,,,,,,46,G,4,YDR442W,,"biological_process unknown, molecular_function unknown, "
4384,    'not included in iLL672',YDR443C,,,,,,46,G,5,YDR443C,"SSN2, NUT8, SCA1, SRB9, UME2","transcription factor, repression of transcription from Pol II promoter, non-specific RNA polymerase II transcription factor, transcription factor complex"
4385,    'not included in iLL672',YDR446W,,,,,,46,G,6,YDR446W,ECM11,"(putative) involved in cell wall biogenesis,molecular_function unknown, "
4386,    'not included in iLL672',YDR447C,,,,,,46,G,7,YDR447C,"RPS17B, RP51B, RPL51B","Ribosomal protein S17B (rp51B), protein biosynthesis*, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit"
4387,    'not included in iLL672',YDR448W,,,,,,46,G,8,YDR448W,"ADA2, SWI8","transcription factor, member of ADA and SAGA, two transcriptional adaptor HAT (histone acetyltransferase)complexes SAGA complex"
4388,    'not included in iLL672',YDR450W,,,,,,46,G,9,YDR450W,RPS18A,"Ribosomal protein S18A, protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit"
4389,    'not included in iLL672',YDR451C,,,,,,46,G,10,YDR451C,YHP1,"biological_process unknown, molecular_function unknown, "
4390,    'not included in iLL672',YDR452W,,,,,,46,G,11,YDR452W,PHM5,vacuolar polyphosphatase 
4391,    'part of iLL672',YDR453C,,,,,,46,G,12,YDR453C,,"biological_process unknown, molecular_function unknown, "
4392,    'not included in iLL672',YDR455C,,,,,,46,H,1,YDR455C,,"biological_process unknown, molecular_function unknown, "
4393,    'not included in iLL672',YDR456W,,,,,,46,H,2,YDR456W,NHX1,"Na+ H+ exchanger, transport,"
4394,    'not included in iLL672',YDR457W,,,,,,46,H,3,YDR457W,TOM1,"hect-domain-containing protein, containing kinase motifs; similar to Rsp5, polyubiquitylation*, ubiquitin--protein ligase, cellular_component unknown"
4395,    'not included in iLL672',YDR458C,,,,,,46,H,4,YDR458C,,"biological_process unknown, molecular_function unknown, "
4396,    'not included in iLL672',YDR459C,,,,,,46,H,5,YDR459C,,"biological_process unknown, molecular_function unknown, "
4397,    'not included in iLL672',YDR462W,,,,,,46,H,6,YDR462W,MRPL28,"Mitochondrial ribosomal protein MRPL28 (YmL28), protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit"
4398,    'not included in iLL672',YDR463W,,,,,,46,H,7,YDR463W,"STP1, BAP1, SSY2","Nuclear-localized protein containing zinc finger motifs, tRNA splicing,"
4399,    'not included in iLL672',YDR465C,,,,,,46,H,8,YDR465C,RMT2,"Protein arginine methyltransferase, arginine metabolism,"
4400,    'not included in iLL672',YDR466W,,,,,,46,H,9,YDR466W,,"biological_process unknown, molecular_function unknown, "
4401,    'not included in iLL672',YDR467C,,,,,,46,H,10,YDR467C,,"biological_process unknown, molecular_function unknown, "
4402,    'not included in iLL672',YDR469W,,,,,,46,H,11,YDR469W,,"biological_process unknown, molecular_function unknown, "
4403,    'not included in iLL672',YDR470C,,,,0,0,46,H,12,YDR470C,UGO1,"mitochondrial fusion, molecular_function unknownmitochondrial outer membrane"
4404,    'not included in iLL672',YDR471W,,,,,,47,A,1,YDR471W,RPL27B,"Ribosomal protein L27B, protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit"
4405,    'not included in iLL672',YDR474C,,,,,,47,A,2,YDR474C,,"biological_process unknown, molecular_function unknown, "
4406,    'not included in iLL672',YDR475C,,,,,,47,A,3,YDR475C,,"biological_process unknown, molecular_function unknown, "
4407,    'not included in iLL672',YDR476C,,,,,,47,A,4,YDR476C,,"biological_process unknown, molecular_function unknown, "
4408,    'not included in iLL672',YDR477W,0,0,0,0,0,47,A,5,YDR477W,"SNF1, CAT1, CCR1, GLC2, HAF3","protein serine threonine kinase, protein phosphorylation*, SNF1A/AMP-activated protein kinase, cytoplasm"
4409,    'not included in iLL672',YDR479C,,,,,,47,A,6,YDR479C,,"biological_process unknown, molecular_function unknown, "
4410,    'not included in iLL672',YDR480W,,,,,,47,A,7,YDR480W,"DIG2, RST2","MAP kinase-associated protein, invasive growth,"
4411,    'part of iLL672',YDR481C,,,,,,47,A,8,YDR481C,PHO8,"repressible alkaline phosphatase,alkaline phosphatase, "
4412,    'not included in iLL672',YDR482C,,,,,,47,A,9,YDR482C,,"biological_process unknown, molecular_function unknown, "
4413,    'not included in iLL672',YDR483W,,,,,,47,A,10,YDR483W,"KRE2, MNT1","alpha-1,2-mannosyltransferase, O-linked glycosylation*, alpha-1,2-mannosyltransferase, Golgi apparatus"
4414,    'not included in iLL672',YDR484W,,,,,,47,A,11,YDR484W,"SAC2, VPS52","involved in localization of actin and chitin, actin filament-based process, molecular_function unknown, cellular_component unknown"
4415,    'not included in iLL672',YDR485C,,,,,,47,A,12,YDR485C,,"biological_process unknown, molecular_function unknown, "
4416,    'not included in iLL672',YDR486C,,,,,,47,B,1,YDR486C,VPS60,"biological_process unknown, molecular_function unknown, cellular_component unknown"
4417,    'not included in iLL672',YDR488C,,,,,,47,B,2,YDR488C,PAC11,"similar to rat dynein intermediate chain, microtubule-based process, microtubule motor, cell"
4418,    'not included in iLL672',YDR490C,,,,,,47,B,3,YDR490C,PKH1,"Ser Thr protein kinase, biological_process unknown,"
4419,    'not included in iLL672',YDR491C,,,,,,47,B,4,YDR491C,,"biological_process unknown, molecular_function unknown, "
4420,    'not included in iLL672',YDR492W,,,,,,47,B,5,YDR492W,,"biological_process unknown, molecular_function unknown, "
4421,    'not included in iLL672',YDR494W,,,,,,47,B,6,YDR494W,,"biological_process unknown, molecular_function unknown, "
4422,    'not included in iLL672',YDR495C,,,,,,47,B,7,YDR495C,"VPS3, PEP6, VPL3, VPT17",vacuolar protein targeting protein 
4423,    'not included in iLL672',YDR496C,,,,,,47,B,8,YDR496C,,"biological_process unknown, molecular_function unknown, "
4424,    'not included in iLL672',YDR497C,,,,,,47,B,9,YDR497C,ITR1,"myo-inositol transporter, transport,"
4425,    'not included in iLL672',YDR500C,,,,,,47,B,10,YDR500C,RPL37B,"60S ribosomal protein L37B (L43) (YL35), protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit"
4426,    'not included in iLL672',YDR501W,,,,,,47,B,11,YDR501W,PLM2,"PLasmid Maintenance,molecular_function unknown, "
4427,    'not included in iLL672',YDR503C,,,,,,47,B,12,YDR503C,LPP1,"Lipid phosphate phosphatase, phospholipid metabolism,"
4428,    'not included in iLL672',YDR504C,,,,,,47,C,1,YDR504C,,"biological_process unknown, molecular_function unknown, "
4429,    'not included in iLL672',YDR505C,,,,,,47,C,2,YDR505C,"PSP1, GIN5","high-copy suppressor of cdc17 DNA polymerase alpha mutations, biological_process unknown, molecular_function unknown,"
4430,    'not included in iLL672',YDR506C,,,,,,47,C,3,YDR506C,,"biological_process unknown, molecular_function unknown, "
4431,    'not included in iLL672',YDR507C,,,0,0,0,47,C,4,YDR507C,"GIN4, ERC47","putative serine threonine kinase, protein phosphorylation*, protein kinase, bud neck"
4432,    'part of iLL672',YDR508C,,,,,,47,C,5,YDR508C,GNP1,"high-affinity glutamine permease, transport,"
4433,    'not included in iLL672',YDR509W,,,,,,47,C,6,YDR509W,,"biological_process unknown, molecular_function unknown, "
4434,    'not included in iLL672',YDR511W,,,,,,47,C,7,YDR511W,ACN9,"biological_process unknown, molecular_function unknown, "
4435,    'not included in iLL672',YDR512C,,,,,,47,C,8,YDR512C,,"biological_process unknown, molecular_function unknown, "
4436,    'not included in iLL672',YDR513W,,,,,,47,C,9,YDR513W,"TTR1, GRX2","Glutaredoxin (thioltransferase) (glutathione reductase), oxidative stress response, glutaredoxin, cellular_component unknown"
4437,    'not included in iLL672',YDR514C,,,,,,47,C,10,YDR514C,,"biological_process unknown, molecular_function unknown, "
4438,    'not included in iLL672',YDR516C,,,,,,47,C,11,YDR516C,,"biological_process unknown, molecular_function unknown, "
4439,    'not included in iLL672',YDR517W,,,,,,47,C,12,YDR517W,GRH1,"Yeast homologue of mammalian GRASP proteins, also localised to the Golgi apparatus., mitotic spindle checkpoint, molecular_function unknown, cytoplasm"
4440,    'not included in iLL672',YDR518W,,,0,0,0,47,D,1,YDR518W,EUG1,"Protein disulfide isomerase homolog,protein disulfide isomerase, "
4441,    'not included in iLL672',YDR519W,,,,,,47,D,2,YDR519W,"FKB2, FPR2","FKBP (FK506 binding protein) 13; peptidylprolyl cis-trans isomerase activity, biological_process unknown, peptidylprolyl isomerase, endoplasmic reticulum membrane"
4442,    'not included in iLL672',YDR521W,,,,,,47,D,3,YDR521W,,"biological_process unknown, molecular_function unknown, "
4443,    'not included in iLL672',YDR522C,,,,,,47,D,4,YDR522C,SPS2,"involved in meiosis, meiosis, molecular_function unknown, "
4444,    'not included in iLL672',YDR523C,m,m,0,0,0,47,D,5,YDR523C,SPS1,serine threonine kinase homologous to Ste20p; expressed in middle late meiosis 
4445,    'not included in iLL672',YDR524C,,,,,,47,D,6,YDR524C,"AGE1, SAT1","ARF GAP with effector function(s), ER to Golgi transport*, ARF GTPase activator, cellular_component unknown"
4446,    'not included in iLL672',YDR525W,,,,,,47,D,7,YDR525W,,"biological_process unknown, molecular_function unknown, "
4447,    'not included in iLL672',YDR528W,,,,,,47,D,8,YDR528W,HLR1,"Homologous to LRE1; antagonistic to PKA,molecular_function unknown, "
4448,    'part of iLL672',YDR529C,,,0,0,0,47,D,9,YDR529C,"QCR7, COR4, CRO1, UCR7","ubiquinol-cytochrome c oxidoreductase subunit 7 (14 kDa),ubiquinol-cytochrome-c reductase,"
4449,    'part of iLL672',YDR530C,,,,,,47,D,10,YDR530C,APA2,"5',5'''-P-1,P-4-tetraphosphate phosphorylase II,ATP adenylyltransferase, "
4450,    'not included in iLL672',YDR532C,,,,,,47,D,11,YDR532C,KRE28,"biological_process unknown, molecular_function unknown, "
4451,    'not included in iLL672',YDR533C,,,,,,47,D,12,YDR533C,,"biological_process unknown, molecular_function unknown, "
4452,    'not included in iLL672',YDR534C,,,,,,47,E,1,YDR534C,FIT1,"biological_process unknown, molecular_function unknown, "
4453,    'not included in iLL672',YGL002W,,,,,,47,E,2,YGL002W,ERP6,"p24 protein involved in membrane trafficking,molecular_function unknown, "
4454,    'not included in iLL672',YGL003C,,,,,,47,E,3,YGL003C,"CDH1, HCT1","protein required for Clb2 and Ase1 degradation, ubiquitin-dependent protein degradation*, enzyme activator, anaphase-promoting complex"
4455,    'not included in iLL672',YGL004C,,,,,,47,E,4,YGL004C,,"biological_process unknown, molecular_function unknown, "
4456,    'not included in iLL672',YGL005C,,,,,,47,E,5,YGL005C,,"biological_process unknown, molecular_function unknown, "
4457,    'not included in iLL672',YGL006W,,,,,,47,E,6,YGL006W,PMC1,"putative vacuolar Ca2+ ATPase, transport,"
4458,    'not included in iLL672',YGL007W,,,,,,47,E,7,YGL007W,,"biological_process unknown, molecular_function unknown, "
4459,    'part of iLL672',YGL009C,,,,,,47,E,8,YGL009C,LEU1,"isopropylmalate isomerase,3-isopropylmalate dehydratase, "
4460,    'not included in iLL672',YGL010W,,,,,,47,E,9,YGL010W,,"biological_process unknown, molecular_function unknown, "
4461,    'part of iLL672',YGL012W,,,0,0,0,47,E,10,YGL012W,ERG4,"Sterol C-24 reductase, ergosterol biosynthesis, sterol C-24(28) reductase, endoplasmic reticulum"
4462,    'not included in iLL672',YGL013C,,,,,,47,E,11,YGL013C,"PDR1, AMY1, ANT1, BOR2, CYH3","zinc-finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type, transport,"
4463,    'not included in iLL672',YGL014W,,,,,,47,E,12,YGL014W,,"cell aging*, molecular_function unknowncellular_component unknown"
4464,    'not included in iLL672',YGL015C,,,,,,47,F,1,YGL015C,,"biological_process unknown, molecular_function unknown, "
4465,    'not included in iLL672',YGL016W,,,,,,47,F,2,YGL016W,"KAP122, PDR6",karyopherin-beta family protein 
4466,    'not included in iLL672',YGL017W,,,,,,47,F,3,YGL017W,ATE1,"arginyl-tRNA-protein transferase, ubiquitin-dependent protein degradation*, arginyltransferase, cytoplasm"
4467,    'not included in iLL672',YGL019W,,,,,,47,F,4,YGL019W,CKB1,"beta (38kDa) subunit of casein kinase II (CKII), establishment of cell polarity (sensu Saccharomyces)*, casein kinase II, casein kinase II"
4468,    'not included in iLL672',YGL020C,,,,,,47,F,5,YGL020C,,"biological_process unknown, molecular_function unknown, "
4469,    'not included in iLL672',YGL021W,,,,,,47,F,6,YGL021W,ALK1,DNA damage-responsive protein 
4470,    'not included in iLL672',YGL023C,,,,,,47,F,7,YGL023C,PIB2,"similar to Fab1 and Vps27; involved in telomere-proximal repression of gene expression,molecular_function unknown, "
4471,    'not included in iLL672',YGL024W,,,,,,47,F,8,YGL024W,,"biological_process unknown, molecular_function unknown, "
4472,    'not included in iLL672',YGL025C,,, ,,,47,F,9,YGL025C,"PGD1, HRS1, MED3","RNA polymerase II mediator subunit, transcription from Pol II promoter, RNA polymerase II transcription mediator, mediator complex"
4473,    'part of iLL672',YGL026C,0,0,0,0,0,47,F,10,YGL026C,TRP5,"tryptophan synthetase,tryptophan synthase, "
4474,    'not included in iLL672',YGL027C,,,,,,47,F,11,YGL027C,"CWH41, GLS1","glucosidase I, cell wall organization and biogenesis, mannosyl-oligosaccharide glucosidase (processing A-glucosidase I), endoplasmic reticulum membrane"
4475,    'not included in iLL672',YGL028C,,,,,,47,F,12,YGL028C,SCW11,soluble cell wall protein 
4476,    'not included in iLL672',YGL029W,,,,,,47,G,1,YGL029W,CGR1,"coiled-coil protein, ribosome biogenesis, molecular_function unknown, nucleolus"
4477,    'not included in iLL672',YGL031C,,,,,,47,G,2,YGL031C,"RPL24A, RPL30A","Ribosomal protein L24A (rp29) (YL21) (L30A), protein biosynthesis, structural protein of ribosome*, cytosolic large ribosomal (60S)-subunit"
4478,    'not included in iLL672',YGL032C,,,,,,47,G,3,YGL032C,AGA2,"adhesion subunit of a-agglutinin, agglutination, cell adhesion receptor, cell wall"
4479,    'not included in iLL672',YGL033W,,,,,,47,G,4,YGL033W,HOP2,"Meiosis-specific gene required for the pairing of homologous chromosomes,molecular_function unknown, "
4480,    'not included in iLL672',YGL034C,,,,,,47,G,5,YGL034C,,"biological_process unknown, molecular_function unknown, "
4481,    'not included in iLL672',YGL035C,,,,,,47,G,6,YGL035C,"MIG1, CAT4, SSN1, TDS22","C2H2 zinc finger protein which resembles the mammalian Egr and Wilms tumour proteins, transcription regulation from Pol II promoter*, transcription co-repressor*, nucleus*"
4482,    'not included in iLL672',YGL036W,,,,,,47,G,7,YGL036W,MTC2,"Mtf1 Two Hybrid Clone 2, biological_process unknown, molecular_function unknown, "
4483,    'part of iLL672',YGL037C,,,,,,47,G,8,YGL037C,PNC1,"pyrazinamidase and nicotinamidase, biological_process unknown, nicotinamidase, cellular_component unknown"
4484,    'not included in iLL672',YGL038C,,,0,0,0,47,G,9,YGL038C,"OCH1, NGD29","membrane-bound alpha-1,6-mannosyltransferase, N-linked glycoprotein maturation, alpha-1,6-mannosyltransferase,"
4485,    'not included in iLL672',YGL039W,,,,,,47,G,10,YGL039W,,"biological_process unknown, molecular_function unknown, "
4486,    'not included in iLL672',YGL041C,,,,,,47,G,11,YGL041C,,"biological_process unknown, molecular_function unknown, "
4487,    'not included in iLL672',YGL042C,,,,,,47,G,12,YGL042C,,"biological_process unknown, molecular_function unknown, "
4488,    'not included in iLL672',YGL043W,,,,,,47,H,1,YGL043W,"DST1, PPR2","RNA polymerase II elongation factor, meiotic recombination*, positive transcription elongation factor, nucleoplasm"
4489,    'not included in iLL672',YGL045W,,,,,,47,H,2,YGL045W,,"biological_process unknown, molecular_function unknown, "
4490,    'not included in iLL672',YGL046W,,,,,,47,H,3,YGL046W,,"biological_process unknown, molecular_function unknown, "
4491,    'not included in iLL672',YGL049C,,,,,,47,H,4,YGL049C,TIF4632,"TIF4632 encodes one of two homologs of eIF-4G, the 150 kD subunit of the mRNA cap-binding complex (eIF-4F), protein synthesis initiation, translation initiation factor, ribosome"
4492,    'not included in iLL672',YGL050W,,,,,,47,H,5,YGL050W,,"biological_process unknown, molecular_function unknown, "
4493,    'not included in iLL672',YGL051W,,,,,,47,H,6,YGL051W,,"biological_process unknown, molecular_function unknown, "
4494,    'not included in iLL672',YGL053W,,,,,,47,H,7,YGL053W,PRM8,"pheromone-regulated membrane protein, mating (sensu Saccharomyces), molecular_function unknown, integral membrane protein"
4495,    'not included in iLL672',YGL054C,,,,,,47,H,8,YGL054C,ERV14,"14 KDa protein found on ER-derived vesicles, ER to Golgi transport*, molecular_function unknown, endoplasmic reticulum membrane"
4496,    'not included in iLL672',YGL056C,,,,,,47,H,9,YGL056C,SDS23,"similar to S. pombe sds23, biological_process unknown, molecular_function unknown, "
4497,    'not included in iLL672',YGL057C,,,,,,47,H,10,YGL057C,,"biological_process unknown, molecular_function unknown, "
4498,    'not included in iLL672',YGL058W,,,,,,47,H,11,YGL058W,"RAD6, UBC2","Ubiquitin conjugating (E2) enzyme. The C-terminal 23 residues are critical for sporulation and histone polyubiquitinating activity, but not UV repair or induced mutagenesis., ubiquitin-dependent protein degradation*, ubiquitin conjugating enzyme, nucleus"
4499,    'not included in iLL672',YGL059W,,,,,,47,H,12,YGL059W,,"biological_process unknown, molecular_function unknown, "
4500,    'not included in iLL672',YGL060W,,,,,,48,A,1,YGL060W,,"biological_process unknown, molecular_function unknown, "
4501,    'part of iLL672',YGL062W,,,,,,48,A,2,YGL062W,PYC1,"pyruvate carboxylase, gluconeogenesis*, pyruvate carboxylase, cytosol"
4502,    'not included in iLL672',YGL063W,,,,,,48,A,3,YGL063W,PUS2,"pseudouridine synthase 2,pseudouridylate synthase, "
4503,    'not included in iLL672',YGL064C,,,0,0,0,48,A,4,YGL064C,,"biological_process unknown, molecular_function unknown, "
4504,    'not included in iLL672',YGL066W,,,,,,48,A,5,YGL066W,,"biological_process unknown, molecular_function unknown, "
4505,    'part of iLL672',YGL067W,,,,,,48,A,6,YGL067W,NPY1,"NADH pyrophosphatase 1,NAD+ pyrophosphatase, "
4506,    'not included in iLL672',YGL070C,,,,,,48,A,7,YGL070C,"RPB9, SHI1, SSU73","RNA polymerase II subunit, transcription from Pol II promoter, DNA-directed RNA polymerase II, DNA-directed RNA polymerase II, core"
4507,    'not included in iLL672',YGL071W,,,,,,48,A,8,YGL071W,"RCS1, AFT1","Putative transcription factor that binds the consensus site PyPuCACCCPu, iron transport,"
4508,    'not included in iLL672',YGL072C,,,,,,48,A,9,YGL072C,,"biological_process unknown, molecular_function unknown, "
4509,    'not included in iLL672',YGL076C,,,,,,48,A,10,YGL076C,RPL7A,"Ribosomal protein L7A (L6A) (rp11) (YL8), protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit"
4510,    'part of iLL672',YGL077C,,,,,,48,A,11,YGL077C,HNM1,"Transporter (permease) for choline and nitrogen mustard; share homology with UGA4, transport, choline permease, "
4511,    'not included in iLL672',YGL078C,,,,,,48,A,12,YGL078C,DBP3,"ATP-dependent RNA helicase CA3 of the DEAD DEAH box family, 35S primary transcript processing*, ATP dependent RNA helicase, nucleolus"
4512,    'not included in iLL672',YGL079W,,,,,,48,B,1,YGL079W,,"biological_process unknown, molecular_function unknown, "
4513,    'not included in iLL672',YGL080W,,,,,,48,B,2,YGL080W,,"biological_process unknown, molecular_function unknown, "
4514,    'not included in iLL672',YGL081W,,,,,,48,B,3,YGL081W,,"biological_process unknown, molecular_function unknown, "
4515,    'not included in iLL672',YGL082W,,,,,,48,B,4,YGL082W,,"biological_process unknown, molecular_function unknown, "
4516,    'not included in iLL672',YGL083W,,,,,,48,B,5,YGL083W,SCY1,"similar to bovine rhodopsin kinase; suppressor of GTPase mutation, biological_process unknown, molecular_function unknown, "
4517,    'not included in iLL672',YGL084C,,,,,,48,B,6,YGL084C,GUP1,putative glycerol transporter 
4518,    'not included in iLL672',YGL085W,,,,,,48,B,7,YGL085W,,"biological_process unknown, molecular_function unknown, "
4519,    'not included in iLL672',YGL086W,,,,,,48,B,8,YGL086W,MAD1,"coiled-coil protein involved in the spindle-assembly checkpoint, mitotic spindle checkpoint, molecular_function unknown, nucleus"
4520,    'not included in iLL672',YGL087C,,,,,,48,B,9,YGL087C,MMS2,"Similar to ubiquitin conjugating protein family, ubiquitin-dependent protein degradation*, ubiquitin conjugating enzyme, cellular_component unknown"
4521,    'not included in iLL672',YGL088W,,,,,,48,B,10,YGL088W,,"biological_process unknown, molecular_function unknown, "
4522,    'not included in iLL672',YGL089C,,,,,,48,B,11,YGL089C,MF(ALPHA)2,"alpha mating factor, pheromone response, pheromone, extracellular"
4523,    'not included in iLL672',YGL090W,,,,,,48,B,12,YGL090W,LIF1,"interacts with DNA ligase protein, double-strand break repair via nonhomologous end-joining, molecular_function unknown, nucleus"
4524,    'not included in iLL672',YGL094C,,,,,,48,C,1,YGL094C,PAN2,"135-kDa protein that is subunit of poly(A) ribonuclease, mRNA processing,cellular_component unknown"
4525,    'not included in iLL672',YGL095C,,,0,0,0,48,C,2,YGL095C,"VPS45, STT10, VPL28","cytosolic and peripheral membrane protein, Golgi to vacuole transport*, vacuolar assembly, Golgi-vacuole transport vesicle"
4526,    'not included in iLL672',YGL096W,,,,,,48,C,3,YGL096W,TOS8,"biological_process unknown, molecular_function unknown, "
4527,    'not included in iLL672',YGL101W,,,,,,48,C,4,YGL101W,,
4528,    'not included in iLL672',YGL104C,,,,,,48,C,5,YGL104C,,
4529,    'not included in iLL672',YGL105W,,,,,,48,C,6,YGL105W,,
4530,    'not included in iLL672',YGL107C,,,0,0,0,48,C,7,YGL107C,,
4531,    'not included in iLL672',YGL108C,,,,,,48,C,8,YGL108C,,
4532,    'not included in iLL672',YGL109W,,,,,,48,C,9,YGL109W,,
4533,    'not included in iLL672',YGL110C,,,,,,48,C,10,YGL110C,,
4534,    'not included in iLL672',YGL114W,,,,,,48,C,11,YGL114W,,
4535,    'not included in iLL672',YGL115W,,,,,,48,C,12,YGL115W,,
4536,    'not included in iLL672',YGL117W,,,,,,48,D,1,YGL117W,,
4537,    'not included in iLL672',YGL118C,,,,,,48,D,2,YGL118C,,
4538,    'not included in iLL672',YGL121C,,,,,,48,D,3,YGL121C,,
4539,    'not included in iLL672',YGL124C,,,,,,48,D,4,YGL124C,,
4540,    'part of iLL672',YGL125W,,,,,,48,D,5,YGL125W,,
4541,    'not included in iLL672',YGL126W,,,,,,48,D,6,YGL126W,,
4542,    'not included in iLL672',YGL127C,,,,,,48,D,7,YGL127C,,
4543,    'not included in iLL672',YGL129C,,,0,0,0,48,D,8,YGL129C,,
4544,    'not included in iLL672',YGL131C,,,,,,48,D,9,YGL131C,,
4545,    'not included in iLL672',YGL132W,,,,,,48,D,10,YGL132W,,
4546,    'not included in iLL672',YGL133W,,,,,,48,D,11,YGL133W,,
